CFR Part,Name of the Part,Year,Next.Edition,Name of the Part (Next Edition),Year (Next Edition),lv_distances,presumed_same,same
201,Discounts for and advances to member banks by Federal Reserve banks.,1949,1959,Advances and discounts by Federal Reserve Banks,1959,33,FALSE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1949,1959,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1959,1,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange.,1949,1959,Acceptance by member banks of drafts or bills of exchange,1959,1,TRUE,203
204,Reserves of member banks.,1949,1959,Reserves of member banks,1959,1,TRUE,204
205,Purchase of warrants.,1949,1959,Purchase of warrants,1959,1,TRUE,205
206,Trust powers of national banks.,1949,1959,Trust powers of national banks,1959,1,TRUE,206
207,Collection of noncash items.,1949,1959,Collection of noncash items,1959,1,TRUE,207
208,Membership of State banking institutions in the Federal Reserve System.,1949,1959,Membership of State banking institutions in the Federal Reserve System,1959,1,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks.,1949,1959,Issue and cancellation of capital stock of Federal Reserve banks,1959,1,TRUE,209
210,Check clearing and collection.,1949,1959,Check clearing and collection,1959,1,TRUE,210
211,"Banking corporations authorized to do foreign banking business under section 25 (a), Federal Reserve Act.",1949,1959,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,1959,55,FALSE,211
212,Interlocking bank directorates under the Clayton Act.,1949,1959,Interlocking bank directorates under the Clayton Act,1959,1,TRUE,212
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act.",1949,1959,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",1959,1,TRUE,213
214,Relations with foreign banks and bankers.,1949,1959,Relations with foreign banks and bankers,1959,1,TRUE,214
215,Loans to executive officers of member banks.,1949,1959,Loans to executive officers of member banks,1959,1,TRUE,215
216,Holding company affiliates; voting permits.,1949,1959,Holding company affiliates; voting permits,1959,1,TRUE,216
217,Payment of interest on deposits.,1949,1959,Payment of interest on deposits,1959,1,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933.",1949,1959,"Relations with dealers in securities under section 32, Banking Act of 1933",1959,1,TRUE,218
219,Industrial loans by Federal Reserve banks.,1949,1959,Industrial loans by Federal Reserve banks,1959,1,TRUE,219
220,"Credit by brokers, dealers, and members of national securities exchanges.",1949,1959,"Credit by brokers, dealers, and members of national securities exchanges",1959,1,TRUE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks.,1949,1959,Loans by banks for the purpose of purchasing or carrying registered stocks,1959,1,TRUE,221
222,Consumer instalment credit.,1949,1959,Bank holding companies,1959,22,FALSE,NA
223,Financing of war production and war contract termination.,1949,1959,NA,NA,NA,NA,NA
224,Discount rates.,1949,1959,Discount rates,1959,1,TRUE,224
261,"Information, submittals or requests.",1949,1959,"Information, submittals or requests",1959,1,TRUE,261
262,Rules of procedure.,1949,1959,Rules of procedure,1959,1,TRUE,262
263,Rules of practice for formal hearings.,1949,1959,Rules of practice for formal hearings,1959,1,TRUE,263
271,"Information, submittals or requests.",1949,1959,"Information, submittals or requests",1959,1,TRUE,271
272,Rules on procedure.,1949,1959,Rules on procedure,1959,1,TRUE,272
281,Statements of policy.,1949,1959,Statements of policy,1959,1,TRUE,281
201,Advances and discounts by Federal Reserve Banks,1959,1963,Advances and discounts by Federal Reserve Banks.,1963,1,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances",1959,1963,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1963,1,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange,1959,1963,Acceptance by member banks of drafts or bills of exchange.,1963,1,TRUE,203
204,Reserves of member banks,1959,1963,Reserves of member banks.,1963,1,TRUE,204
205,Purchase of warrants,1959,1963,Purchase of warrants.,1963,1,TRUE,205
206,Trust powers of national banks,1959,1963,NA,NA,NA,NA,NA
207,Collection of noncash items,1959,1963,Collection of noncash items.,1963,1,TRUE,207
208,Membership of State banking institutions in the Federal Reserve System,1959,1963,Membership of State banking institutions in the Federal Reserve System.,1963,1,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks,1959,1963,Issue and cancellation of capital stock of Federal Reserve banks.,1963,1,TRUE,209
210,Check clearing and collection,1959,1963,Check clearing and collection.,1963,1,TRUE,210
211,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act,1959,1963,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act.,1963,1,TRUE,211
212,Interlocking bank directorates under the Clayton Act,1959,1963,Interlocking bank directorates under the Clayton Act.,1963,1,TRUE,212
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act",1959,1963,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act.",1963,1,TRUE,213
214,Relations with foreign banks and bankers,1959,1963,Relations with foreign banks and bankers.,1963,1,TRUE,214
215,Loans to executive officers of member banks,1959,1963,Loans to executive officers of member banks.,1963,1,TRUE,215
216,Holding company affiliates; voting permits,1959,1963,Holding company affiliates; voting permits.,1963,1,TRUE,216
217,Payment of interest on deposits,1959,1963,Payment of interest on deposits.,1963,1,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933",1959,1963,"Relations with dealers in securities under section 32, Banking Act of 1933.",1963,1,TRUE,218
219,Industrial loans by Federal Reserve banks,1959,1963,NA,NA,NA,NA,NA
220,"Credit by brokers, dealers, and members of national securities exchanges",1959,1963,"Credit by brokers, dealers, and members of national securities exchanges.",1963,1,TRUE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks,1959,1963,Loans by banks for the purpose of purchasing or carrying registered stocks.,1963,1,TRUE,221
222,Bank holding companies,1959,1963,Bank holding companies.,1963,1,TRUE,222
224,Discount rates,1959,1963,Discount rates.,1963,1,TRUE,224
261,"Information, submittals or requests",1959,1963,"Rules regarding information, submittals, and requests.",1963,22,FALSE,261
262,Rules of procedure,1959,1963,Rules of procedure.,1963,1,TRUE,262
263,Rules of practice for formal hearings,1959,1963,Rules of practice for formal hearings.,1963,1,TRUE,263
270,Open market operations of Federal Reserve Banks,1959,1963,Open market operations of Federal Reserve Banks.,1963,1,TRUE,270
271,"Information, submittals or requests",1959,1963,"Rules regarding information, submittals, and requests.",1963,22,FALSE,271
272,Rules on procedure,1959,1963,Rules of procedure.,1963,2,TRUE,272
281,Statements of policy,1959,1963,Statements of policy.,1963,1,TRUE,281
201,Advances and discounts by Federal Reserve Banks.,1963,1967,Advances and discounts by Federal Reserve Banks.,1967,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1963,1967,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1967,0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange.,1963,1967,Acceptance by member banks of drafts or bills of exchange.,1967,0,TRUE,203
204,Reserves of member banks.,1963,1967,Reserves of member banks.,1967,0,TRUE,204
205,Purchase of warrants.,1963,1967,Purchase of warrants.,1967,0,TRUE,205
207,Collection of noncash items.,1963,1967,Collection of noncash items.,1967,0,TRUE,207
208,Membership of State banking institutions in the Federal Reserve System.,1963,1967,Membership of State banking institutions in the Federal Reserve System.,1967,0,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks.,1963,1967,Issue and cancellation of capital stock of Federal Reserve banks.,1967,0,TRUE,209
210,Check clearing and collection.,1963,1967,Check clearing and collection.,1967,0,TRUE,210
211,Corporations doing foreign banking or other foreign financing under the Federal Reserve Act.,1963,1967,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1967,24,FALSE,211
212,Interlocking bank directorates under the Clayton Act.,1963,1967,Interlocking bank directorates under the Clayton Act.,1967,0,TRUE,212
213,"Foreign branches of national banks and of corporations organized under section 25 (a), Federal Reserve Act.",1963,1967,Foreign branches of national banks.,1967,72,FALSE,213
214,Relations with foreign banks and bankers.,1963,1967,Relations with foreign banks and bankers.,1967,0,TRUE,214
215,Loans to executive officers of member banks.,1963,1967,Loans to executive officers of member banks.,1967,0,TRUE,215
216,Holding company affiliates; voting permits.,1963,1967,NA,NA,NA,NA,NA
217,Payment of interest on deposits.,1963,1967,Payment of interest on deposits.,1967,0,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933.",1963,1967,"Relations with dealers in securities under section 32, Banking Act of 1933.",1967,0,TRUE,218
220,"Credit by brokers, dealers, and members of national securities exchanges.",1963,1967,"Credit by brokers, dealers, and members of national securities exchanges.",1967,0,TRUE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks.,1963,1967,Loans by banks for the purpose of purchasing or carrying registered stocks.,1967,0,TRUE,221
222,Bank holding companies.,1963,1967,Bank holding companies.,1967,0,TRUE,222
224,Discount rates.,1963,1967,Discount rates.,1967,0,TRUE,224
261,"Rules regarding information, submittals, and requests.",1963,1967,"Rules regarding information, submittals, and requests.",1967,0,TRUE,261
262,Rules of procedure.,1963,1967,Rules of procedure.,1967,0,TRUE,262
263,Rules of practice for formal hearings.,1963,1967,Rules of practice for formal hearings.,1967,0,TRUE,263
270,Open market operations of Federal Reserve Banks.,1963,1967,Open market operations of Federal Reserve Banks.,1967,0,TRUE,270
271,"Rules regarding information, submittals, and requests.",1963,1967,"Rules regarding information, submittals, and requests.",1967,0,TRUE,271
272,Rules of procedure.,1963,1967,Rules of procedure.,1967,0,TRUE,272
281,Statements of policy.,1963,1967,Statements of policy.,1967,0,TRUE,281
201,Advances and discounts by Federal Reserve Banks.,1967,1968,Advances and discounts by Federal Reserve Banks.,1968,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1967,1968,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1968,0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange.,1967,1968,Acceptance by member banks of drafts or bills of exchange.,1968,0,TRUE,203
204,Reserves of member banks.,1967,1968,Reserves of member banks.,1968,0,TRUE,204
205,Purchase of warrants.,1967,1968,Purchase of warrants.,1968,0,TRUE,205
206,Securities of member State banks.,1967,1968,Securities of member State banks.,1968,0,TRUE,206
207,Collection of noncash items.,1967,1968,NA,NA,NA,NA,NA
208,Membership of State banking institutions in the Federal Reserve System.,1967,1968,Membership of State banking institutions in the Federal Reserve System.,1968,0,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks.,1967,1968,Issue and cancellation of capital stock of Federal Reserve banks.,1968,0,TRUE,209
210,Check clearing and collection.,1967,1968,Collection of checks and other items by Federal Reserve banks.,1968,47,FALSE,210
211,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1967,1968,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1968,0,TRUE,211
212,Interlocking bank directorates under the Clayton Act.,1967,1968,Interlocking bank directorates under the Clayton Act.,1968,0,TRUE,212
213,Foreign branches of national banks.,1967,1968,Foreign activities of national banks.,1968,8,FALSE,213
214,Relations with foreign banks and bankers.,1967,1968,Relations with foreign banks and bankers.,1968,0,TRUE,214
215,Loans to executive officers of member banks.,1967,1968,Loans to executive officers of member banks.,1968,0,TRUE,215
217,Payment of interest on deposits.,1967,1968,Payment of interest on deposits.,1968,0,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933.",1967,1968,"Relations with dealers in securities under section 32, Banking Act of 1933.",1968,0,TRUE,218
219,Bank service arrangements.,1967,1968,Bank service arrangements.,1968,0,TRUE,219
220,"Credit by brokers, dealers, and members of national securities exchanges.",1967,1968,"Credit by brokers, dealers, and members of national securities exchanges.",1968,0,TRUE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks.,1967,1968,Loans by banks for the purpose of purchasing or carrying registered stocks.,1968,0,TRUE,221
222,Bank holding companies.,1967,1968,Bank holding companies.,1968,0,TRUE,222
224,Discount rates.,1967,1968,Discount rates.,1968,0,TRUE,224
261,"Rules regarding information, submittals, and requests.",1967,1968,Rules regarding availability of information.,1968,30,FALSE,261
262,Rules of procedure.,1967,1968,Rules of procedure.,1968,0,TRUE,262
263,Rules of practice for formal hearings.,1967,1968,Rules of practice for formal hearings.,1968,0,TRUE,263
264,Employee responsibilities and conduct.,1967,1968,Employee responsibilities and conduct.,1968,0,TRUE,264
270,Open market operations of Federal Reserve Banks.,1967,1968,Open market operations of Federal Reserve Banks.,1968,0,TRUE,270
271,"Rules regarding information, submittals, and requests.",1967,1968,Rules regarding availability of information.,1968,30,FALSE,271
272,Rules of procedure.,1967,1968,Rules of procedure.,1968,0,TRUE,272
281,Statements of policy.,1967,1968,Statements of policy.,1968,0,TRUE,281
201,Advances and discounts by Federal Reserve Banks.,1968,1969,Advances and discounts by Federal Reserve Banks.,1969,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1968,1969,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1969,0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange.,1968,1969,Acceptance by member banks of drafts or bills of exchange.,1969,0,TRUE,203
204,Reserves of member banks.,1968,1969,Reserves of member banks.,1969,0,TRUE,204
205,Purchase of warrants.,1968,1969,Purchase of warrants.,1969,0,TRUE,205
206,Securities of member State banks.,1968,1969,Securities of member State banks.,1969,0,TRUE,206
208,Membership of State banking institutions in the Federal Reserve System.,1968,1969,Membership of State banking institutions in the Federal Reserve System.,1969,0,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks.,1968,1969,Issue and cancellation of capital stock of Federal Reserve banks.,1969,0,TRUE,209
210,Collection of checks and other items by Federal Reserve banks.,1968,1969,Collection of checks and other items by Federal Reserve banks.,1969,0,TRUE,210
211,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1968,1969,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1969,0,TRUE,211
212,Interlocking bank directorates under the Clayton Act.,1968,1969,Interlocking bank directorates under the Clayton Act.,1969,0,TRUE,212
213,Foreign activities of national banks.,1968,1969,Foreign activities of national banks.,1969,0,TRUE,213
214,Relations with foreign banks and bankers.,1968,1969,Relations with foreign banks and bankers.,1969,0,TRUE,214
215,Loans to executive officers of member banks.,1968,1969,Loans to executive officers of member banks.,1969,0,TRUE,215
217,Payment of interest on deposits.,1968,1969,Payment of interest on deposits.,1969,0,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933.",1968,1969,"Relations with dealers in securities under section 32, Banking Act of 1933.",1969,0,TRUE,218
219,Bank service arrangements.,1968,1969,Bank service arrangements.,1969,0,TRUE,219
220,"Credit by brokers, dealers, and members of national securities exchanges.",1968,1969,"Credit by brokers, dealers, and members of national securities exchanges.",1969,0,TRUE,220
221,Loans by banks for the purpose of purchasing or carrying registered stocks.,1968,1969,Credit by banks for the purpose of purchasing or carrying registered stocks.,1969,6,FALSE,221
222,Bank holding companies.,1968,1969,Bank holding companies.,1969,0,TRUE,222
224,Discount rates.,1968,1969,Discount rates.,1969,0,TRUE,224
261,Rules regarding availability of information.,1968,1969,Rules regarding availability of information.,1969,0,TRUE,261
262,Rules of procedure.,1968,1969,Rules of procedure.,1969,0,TRUE,262
263,Rules of practice for formal hearings.,1968,1969,Rules of practice for formal hearings.,1969,0,TRUE,263
264,Employee responsibilities and conduct.,1968,1969,Employee responsibilities and conduct.,1969,0,TRUE,264
265,Rules regarding delegation of authority.,1968,1969,Rules regarding delegation of authority.,1969,0,TRUE,265
270,Open market operations of Federal Reserve Banks.,1968,1969,Open market operations of Federal Reserve Banks.,1969,0,TRUE,270
271,Rules regarding availability of information.,1968,1969,Rules regarding availability of information.,1969,0,TRUE,271
272,Rules of procedure.,1968,1969,Rules of procedure.,1969,0,TRUE,272
281,Statements of policy.,1968,1969,Statements of policy.,1969,0,TRUE,281
201,Advances and discounts by Federal Reserve Banks.,1969,1970,Advances and discounts by Federal Reserve Banks.,1970,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1969,1970,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1970,0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange.,1969,1970,Acceptance by member banks of drafts or bills of exchange.,1970,0,TRUE,203
204,Reserves of member banks.,1969,1970,Reserves of member banks.,1970,0,TRUE,204
205,Purchase of warrants.,1969,1970,Purchase of warrants.,1970,0,TRUE,205
206,Securities of member State banks.,1969,1970,Securities of member State banks.,1970,0,TRUE,206
207,"Credit by persons other than banks, brokers, or dealers for purpose of purchasing or carrying registered equity securities.",1969,1970,"Securities credit by persons other than banks, brokers, or dealers.",1970,79,FALSE,207
208,Membership of State banking institutions in the Federal Reserve System.,1969,1970,Membership of State banking institutions in the Federal Reserve System.,1970,0,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks.,1969,1970,Issue and cancellation of capital stock of Federal Reserve banks.,1970,0,TRUE,209
210,Collection of checks and other items by Federal Reserve banks.,1969,1970,Collection of checks and other items by Federal Reserve banks.,1970,0,TRUE,210
211,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1969,1970,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1970,0,TRUE,211
212,Interlocking bank directorates under the Clayton Act.,1969,1970,Interlocking bank directorates under the Clayton Act.,1970,0,TRUE,212
213,Foreign activities of national banks.,1969,1970,Foreign activities of national banks.,1970,0,TRUE,213
214,Relations with foreign banks and bankers.,1969,1970,Relations with foreign banks and bankers.,1970,0,TRUE,214
215,Loans to executive officers of member banks.,1969,1970,Loans to executive officers of member banks.,1970,0,TRUE,215
217,Payment of interest on deposits.,1969,1970,Interest on deposits.,1970,12,FALSE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933.",1969,1970,"Relations with dealers in securities under section 32, Banking Act of 1933.",1970,0,TRUE,218
219,Bank service arrangements.,1969,1970,Bank service arrangements.,1970,0,TRUE,219
220,"Credit by brokers, dealers, and members of national securities exchanges.",1969,1970,Credit by brokers and dealers.,1970,44,FALSE,220
221,Credit by banks for the purpose of purchasing or carrying registered stocks.,1969,1970,Credit by banks for the purpose of purchasing or carrying margin stocks.,1970,9,FALSE,221
222,Bank holding companies.,1969,1970,Bank holding companies.,1970,0,TRUE,222
224,Discount rates.,1969,1970,Discount rates.,1970,0,TRUE,224
250,Miscellaneous interpretations.,1969,1970,Miscellaneous interpretations.,1970,0,TRUE,250
261,Rules regarding availability of information.,1969,1970,Rules regarding availability of information.,1970,0,TRUE,261
262,Rules of procedure.,1969,1970,Rules of procedure.,1970,0,TRUE,262
263,Rules of practice for formal hearings.,1969,1970,Rules of practice for formal hearings.,1970,0,TRUE,263
264,Employee responsibilities and conduct.,1969,1970,Employee responsibilities and conduct.,1970,0,TRUE,264
265,Rules regarding delegation of authority.,1969,1970,Rules regarding delegation of authority.,1970,0,TRUE,265
270,Open market operations of Federal Reserve Banks.,1969,1970,Open market operations of Federal Reserve Banks.,1970,0,TRUE,270
271,Rules regarding availability of information.,1969,1970,Rules regarding availability of information.,1970,0,TRUE,271
272,Rules of procedure.,1969,1970,Rules of procedure.,1970,0,TRUE,272
281,Statements of policy.,1969,1970,Statements of policy.,1970,0,TRUE,281
201,Advances and discounts by Federal Reserve Banks.,1970,1971,Advances and discounts by Federal Reserve Banks.,1971,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1970,1971,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1971,0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange.,1970,1971,Acceptance by member banks of drafts or bills of exchange.,1971,0,TRUE,203
204,Reserves of member banks.,1970,1971,Reserves of member banks.,1971,0,TRUE,204
205,Purchase of warrants.,1970,1971,Purchase of warrants.,1971,0,TRUE,205
206,Securities of member State banks.,1970,1971,Securities of member State banks.,1971,0,TRUE,206
207,"Securities credit by persons other than banks, brokers, or dealers.",1970,1971,"Securities credit by persons other than banks, brokers, or dealers.",1971,0,TRUE,207
208,Membership of State banking institutions in the Federal Reserve System.,1970,1971,Membership of State banking institutions in the Federal Reserve System.,1971,0,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks.,1970,1971,Issue and cancellation of capital stock of Federal Reserve banks.,1971,0,TRUE,209
210,Collection of checks and other items by Federal Reserve banks.,1970,1971,Collection of checks and other items by Federal Reserve banks.,1971,0,TRUE,210
211,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1970,1971,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1971,0,TRUE,211
212,Interlocking bank directorates under the Clayton Act.,1970,1971,Interlocking bank relationships under the Clayton Act.,1971,10,FALSE,212
213,Foreign activities of national banks.,1970,1971,Foreign activities of national banks.,1971,0,TRUE,213
214,Relations with foreign banks and bankers.,1970,1971,Relations with foreign banks and bankers.,1971,0,TRUE,214
215,Loans to executive officers of member banks.,1970,1971,Loans to executive officers of member banks.,1971,0,TRUE,215
216,Minimum security devices and procedures for Federal Reserve Banks and State member banks.,1970,1971,Minimum security devices and procedures for Federal Reserve Banks and State member banks.,1971,0,TRUE,216
217,Interest on deposits.,1970,1971,Interest on deposits.,1971,0,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933.",1970,1971,"Relations with dealers in securities under section 32, Banking Act of 1933.",1971,0,TRUE,218
219,Bank service arrangements.,1970,1971,Bank service arrangements.,1971,0,TRUE,219
220,Credit by brokers and dealers.,1970,1971,Credit by brokers and dealers.,1971,0,TRUE,220
221,Credit by banks for the purpose of purchasing or carrying margin stocks.,1970,1971,Credit by banks for the purpose of purchasing or carrying margin stocks.,1971,0,TRUE,221
222,Bank holding companies.,1970,1971,Bank holding companies.,1971,0,TRUE,222
224,Discount rates.,1970,1971,Discount rates.,1971,0,TRUE,224
226,Truth in lending.,1970,1971,Truth in lending.,1971,0,TRUE,226
250,Miscellaneous interpretations.,1970,1971,Miscellaneous interpretations.,1971,0,TRUE,250
261,Rules regarding availability of information.,1970,1971,Rules regarding availability of information.,1971,0,TRUE,261
262,Rules of procedure.,1970,1971,Rules of procedure.,1971,0,TRUE,262
263,Rules of practice for formal hearings.,1970,1971,Rules of practice for formal hearings.,1971,0,TRUE,263
264,Employee responsibilities and conduct.,1970,1971,Employee responsibilities and conduct.,1971,0,TRUE,264
265,Rules regarding delegation of authority.,1970,1971,Rules regarding delegation of authority.,1971,0,TRUE,265
270,Open market operations of Federal Reserve Banks.,1970,1971,Open market operations of Federal Reserve Banks.,1971,0,TRUE,270
271,Rules regarding availability of information.,1970,1971,Rules regarding availability of information.,1971,0,TRUE,271
272,Rules of procedure.,1970,1971,Rules of procedure.,1971,0,TRUE,272
281,Statements of policy.,1970,1971,Statements of policy.,1971,0,TRUE,281
201,Advances and discounts by Federal Reserve Banks.,1971,1972,Advances and discounts by Federal Reserve Banks.,1972,0,TRUE,201
202,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1971,1972,"Open market purchases of bills of exchange, trade acceptances, bankers’ acceptances.",1972,0,TRUE,202
203,Acceptance by member banks of drafts or bills of exchange.,1971,1972,Acceptance by member banks of drafts or bills of exchange.,1972,0,TRUE,203
204,Reserves of member banks.,1971,1972,Reserves of member banks.,1972,0,TRUE,204
205,Purchase of warrants.,1971,1972,Purchase of warrants.,1972,0,TRUE,205
206,Securities of member State banks.,1971,1972,Securities of member State banks.,1972,0,TRUE,206
207,"Securities credit by persons other than banks, brokers, or dealers.",1971,1972,"Securities credit by persons other than banks, brokers, or dealers.",1972,0,TRUE,207
208,Membership of State banking institutions in the Federal Reserve System.,1971,1972,Membership of State banking institutions in the Federal Reserve System.,1972,0,TRUE,208
209,Issue and cancellation of capital stock of Federal Reserve banks.,1971,1972,Issue and cancellation of capital stock of Federal Reserve banks.,1972,0,TRUE,209
210,Collection of checks and other items by Federal Reserve banks.,1971,1972,Collection of checks and other items by Federal Reserve banks.,1972,0,TRUE,210
211,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1971,1972,Corporations engaged in foreign banking and financing under the Federal Reserve Act.,1972,0,TRUE,211
212,Interlocking bank relationships under the Clayton Act.,1971,1972,Interlocking bank relationships under the Clayton Act.,1972,0,TRUE,212
213,Foreign activities of national banks.,1971,1972,Foreign activities of national banks.,1972,0,TRUE,213
214,Relations with foreign banks and bankers.,1971,1972,Relations with foreign banks and bankers.,1972,0,TRUE,214
215,Loans to executive officers of member banks.,1971,1972,Loans to executive officers of member banks.,1972,0,TRUE,215
216,Minimum security devices and procedures for Federal Reserve Banks and State member banks.,1971,1972,Minimum security devices and procedures for Federal Reserve Banks and State member banks.,1972,0,TRUE,216
217,Interest on deposits.,1971,1972,Interest on deposits.,1972,0,TRUE,217
218,"Relations with dealers in securities under section 32, Banking Act of 1933.",1971,1972,"Relations with dealers in securities under section 32, Banking Act of 1933.",1972,0,TRUE,218
219,Bank service arrangements.,1971,1972,Bank service arrangements.,1972,0,TRUE,219
220,Credit by brokers and dealers.,1971,1972,Credit by brokers and dealers.,1972,0,TRUE,220
221,Credit by banks for the purpose of purchasing or carrying margin stocks.,1971,1972,Credit by banks for the purpose of purchasing or carrying margin stocks.,1972,0,TRUE,221
222,Bank holding companies.,1971,1972,NA,NA,NA,NA,NA
224,Discount rates.,1971,1972,Rules governing borrowers who obtain securities credit.,1972,45,FALSE,NA
